code,system
G544000,readv2
G544200,readv2
G544100,readv2
G132.00,readv2
G133.11,readv2
G131.00,readv2
G130.00,readv2
G13z.00,readv2
G133.12,readv2
G131.14,readv2
G132.13,readv2
G544X00,readv2
G13y.00,readv2
G13..00,readv2
G133.00,readv2
G132.12,readv2
G131.13,readv2
G544.00,readv2
Gyu5D00,readv2
19699.0,readv2
61250.0,readv2
57338.0,readv2
18475.0,readv2
31759.0,readv2
29158.0,readv2
31727.0,readv2
33262.0,readv2
10078.0,readv2
40582.0,readv2
100910.0,readv2
49355.0,readv2
8274.0,readv2
94872.0,readv2
11878.0,readv2
70698.0,readv2
17596.0,readv2
33907.0,readv2
40239.0,readv2
I08,readv2
